patch_id,product,year,bug_id,description,is_security
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000167984,"Portal for ArcGIS has a Local file inclusion (LFI) vulnerability (11.2, 11.1 and 10.9.1 only)",True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000167983,Unvalidated redirect in Portal for ArcGIS (11.1 and 10.9.1 only),True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000165732,Reflected XSS in Portal for ArcGIS (11.1 and 10.9.1 only),True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000165286,"Reflected XSS in Portal for ArcGIS (11.1, 10.9.1 and 10.8.1 only)",True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000163019,Stored XSS in Portal for ArcGIS (10.9.1 and 10.8.1 only),True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000162883,Unable to log in to some endpoints in Portal for ArcGIS through SAML or OpenID Connect when using an external identity provider (11.1 and 10.9.1 only),False
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000161683,HTML injection vulnerability in Portal for ArcGIS (11.1 and 10.9.1 only),True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000160765,"Stored XSS in ArcGIS Experience Builder (11.1 , 10.9.1 and 10.8.1 only)",True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000160599,"Stored XSS in Portal for ArcGIS Web App Builder (11.1, 10.9.1 and 10.8.1 only)",True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000160241,"Reflected XSS in Portal for ArcGIS (11.1, 10.9.1 and 10.8.1 only)",True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000154827,Reflected XSS in ArcGIS Experience Builder (10.9.1 and 10.8.1 only),True
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000152181,"When the Show option is clicked in a related attribute table in Portal for ArcGIS Map Viewer Classic, the attributes of the related layer are not displayed if the relationship class is created using long integer, short integer, and float data types. (10.9.1 only)",False
PORTAL-FOR-ARCGIS-SECURITY-2024-UPDATE-2,Portal for ArcGIS,2025,BUG-000154028,"If a group is configured for only owners or managers to contribute content, the managers cannot share items to the group in Portal for ArcGIS 10.8.1 and 10.9.1.",False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172305,"Stored XSS in ArcGIS Server Administrator Directory (11.2, 11.1, 10.9.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172304,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172303,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172302,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172301,Stored XSS in ArcGIS Server Administrator Directory,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172300,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172299,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172298,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172297,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172296,Stored XSS in ArcGIS Server Administrator Directory,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172295,Stored XSS in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172294,Stored XSS in ArcGIS Server Administrator Directory,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172293,"Stored XSS issue in ArcGIS Server Manager (11.2, 11.1, 10.9.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172291,"Stored XSS in ArcGIS Server Administrator Directory (11.2, 11.1, 10.9.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172290,"Directory traversal vulnerability in ArcGIS Server (11.2, 11.1, 10.9.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172289,"Stored XSS vulnerability in ArcGIS Rest Services Directory (11.2, 11.1, 10.9.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000172287,Stored XSS in ArcGIS Server Administrator Directory,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171805,"In a stand-alone ArcGIS Server deployment, custom data feeds for feature services cannot be secured. (11.3, 11.2, 11.1)",False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171492,The pipe character operator in a regular expression does not return features when filtering hosted feature services using the spatiotemporal big data store. (11.2),False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171445,Directory traversal vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171444,SQL injection vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171443,Local file inclusion (LFI) vulnerability in ArcGIS Server,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171441,Stored XSS in ArcGIS Server Manager,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171439,Stored XSS in ArcGIS Server Administrator Directory,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171436,Stored XSS vulnerability in ArcGIS Server Rest services,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171435,"Unauthorized access to secure services in ArcGIS Server (11.3, 11.2, 11.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171366,"The applyEdits operations do not execute pending the completion of concurrent append operations. (11.3, 11.2, 11.1)",False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171365,Inconsistent maxFieldNameLength service property value after adding the first layer to the service. (11.3),False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000171364,Update definition call fails with a database error when adding a DateOnly or TimeOnly field to a layer template. (11.3),False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000169392,"Adding new features with text field value left bracket (<) followed by an alphabet to the feature service fails when the 'rollbackOnFailure' option is false, ultimately leading to corruption of the system-maintained i-table. (11.3, 11.2, 11.1)",False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000168963,"Database connection strings inside of ArcGIS Server's dsconnections.lst files may become damaged when validating data store connections in ArcGIS Server. (11.3, 10.9.1)",False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000167757,Downloading PDF attachments larger than 5 MB fails when ArcGIS Server is installed on Linux. (11.2),False
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000165095,The generateToken request references a relative path sequence in the serverUrl parameter,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-1,ArcGIS Server,2025,BUG-000114507,"Portal for ArcGIS creates duplicate items upon overwriting an existing service in a federated server, failing due to inaccessibility of data. (10.9.1)",False
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,BUG-000177336,"ArcGIS Enterprise Sites has a stored Cross-site Scripting vulnerability. (11.4, 11.3, 11.1)",True
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,BUG-000177335,"ArcGIS Enterprise Sites has a stored Cross-site Scripting vulnerability. (11.4, 11.3)",True
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,BUG-000177333,"ArcGIS Enterprise Sites has a stored Cross-site Scripting vulnerability. (11.1, 10.9.1)",True
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,BUG-000173918,"ArcGIS Enterprise Sites has a security vulnerability. (11.4, 11.3, 11.1)",True
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,BUG-000173171,"ArcGIS Enterprise Sites has a Cross-site Scripting vulnerability. (11.4, 11.3",True
PORTAL-FOR-ARCGIS-ENTERPRISE-SITES-SECUR,Portal for ArcGIS,2025,BUG-000172758,"In the ArcGIS Enterprise Sites gallery cards, the buttons are not immediately updated when a new button background color is specified in the Theme settings. (11.4, 11.3)",False
ARCGIS-SERVER-FEATURE-SERVICES-SECURITY-,ArcGIS Server,2025,BUG-000179884,There is a security vulnerability in ArcGIS Server Feature Services.,True
ARCGIS-WEB-ADAPTOR-IIS-STABILITY-PATCH,ArcGIS Web Adaptor,2025,BUG-000177402,"When HTTP/2 is enabled on IIS, a burst of concurrent requests sent through the ArcGIS Web Adaptor (IIS) may lead to increased latency and rejected requests that return an HTTP 500 error.",False
ARCGIS-SERVER-SECURITY-2025-UPDATE-2-PAT,ArcGIS Server,2025,BUG-000180332,Stored XSS vulnerability in ArcGIS Server.,True
ARCGIS-SERVER-SECURITY-2025-UPDATE-2-PAT,ArcGIS Server,2025,BUG-000180331,"Stored XSS vulnerability in ArcGIS Server. (11.4, 11.3, 11.1, 10.9.1)",True
ARCGIS-SERVER-SECURITY-2025-UPDATE-2-PAT,ArcGIS Server,2025,BUG-000180329,"Reflected XSS vulnerability in ArcGIS Server. (11.4, 11.3, 11.1, 10.9.1)",True
